day,start_time,awayteam,hometeam,awayscore,homescore,wl
Monday,708,MIN,ANA,3,6,1
Tuesday,708,MIN,ANA,5,3,0
Wednesday,708,MIN,ANA,4,2,0
Thursday,707,MIN,ANA,10,1,0
Friday,708,OAK,ANA,10,4,0
Saturday,607,OAK,ANA,3,4,1
Sunday,1238,OAK,ANA,9,4,0
Monday,708,DET,ANA,0,2,1
Tuesday,709,DET,ANA,5,6,1
Wednesday,707,DET,ANA,4,3,0
Thursday,708,DET,ANA,5,4,0
Friday,708,NYA,ANA,4,6,1
Saturday,111,NYA,ANA,7,1,0
Sunday,1236,NYA,ANA,4,8,1
Monday,708,CLE,ANA,2,5,1
Tuesday,707,CLE,ANA,9,2,0
Wednesday,406,CLE,ANA,3,4,1
Monday,709,TBA,ANA,4,5,1
Tuesday,707,TBA,ANA,7,2,0
Wednesday,408,TBA,ANA,4,3,0
Friday,708,OAK,ANA,0,4,1
Saturday,608,OAK,ANA,3,12,1
Sunday,1237,OAK,ANA,0,4,1
Monday,708,TOR,ANA,6,0,0
Tuesday,708,TOR,ANA,3,8,1
Wednesday,408,TOR,ANA,5,6,1
Friday,708,SEA,ANA,8,3,0
Saturday,110,SEA,ANA,1,5,1
Sunday,1238,SEA,ANA,7,9,1
Monday,709,MIL,ANA,12,2,0
Tuesday,706,MIL,ANA,7,1,0
Wednesday,408,MIL,ANA,1,5,1
Tuesday,709,LAN,ANA,3,6,1
Wednesday,707,LAN,ANA,1,2,1
Thursday,708,LAN,ANA,10,6,0
Friday,708,COL,ANA,4,3,0
Saturday,708,COL,ANA,2,4,1
Sunday,1236,COL,ANA,3,10,1
Tuesday,707,TEX,ANA,5,6,1
Wednesday,708,TEX,ANA,6,4,0
Thursday,707,TEX,ANA,1,2,1
Friday,708,KCA,ANA,2,1,0
Saturday,606,KCA,ANA,4,2,0
Sunday,512,KCA,ANA,0,11,1
Thursday,708,SEA,ANA,3,8,1
Friday,707,SEA,ANA,2,3,1
Saturday,607,SEA,ANA,6,7,1
Sunday,1237,SEA,ANA,2,1,0
Monday,707,BOS,ANA,6,3,0
Tuesday,708,BOS,ANA,4,2,0
Wednesday,1238,BOS,ANA,7,3,0
Friday,707,TEX,ANA,7,9,1
Saturday,607,TEX,ANA,2,1,0
Sunday,1238,TEX,ANA,1,4,1
Monday,707,KCA,ANA,4,6,1
Tuesday,707,KCA,ANA,1,3,1
Wednesday,1238,KCA,ANA,1,2,1
Friday,708,TOR,ANA,3,0,0
Saturday,607,TOR,ANA,2,7,1
Sunday,1238,TOR,ANA,4,1,0
Monday,707,TBA,ANA,4,3,0
Tuesday,708,TBA,ANA,10,3,0
Wednesday,1237,TBA,ANA,3,12,1
Friday,707,BAL,ANA,3,1,0
Saturday,606,BAL,ANA,5,0,0
Sunday,1237,BAL,ANA,1,0,0
Monday,607,CLE,ANA,3,2,0
Tuesday,709,CLE,ANA,6,1,0
Wednesday,406,CLE,ANA,3,4,1
Friday,708,SEA,ANA,3,4,1
Saturday,607,SEA,ANA,4,7,1
Sunday,1237,SEA,ANA,0,3,1
Monday,707,TEX,ANA,4,7,1
Tuesday,706,TEX,ANA,0,2,1
Wednesday,707,TEX,ANA,2,1,0
Friday,708,CHA,ANA,2,1,0
Saturday,607,CHA,ANA,6,2,0
Sunday,1238,CHA,ANA,4,3,0
Monday,707,OAK,ANA,5,6,1
Tuesday,707,OAK,ANA,2,4,1
Wednesday,1236,OAK,ANA,1,2,1
Friday,707,TOR,ANA,3,2,0
Saturday,607,TOR,ANA,5,6,1
Sunday,1236,TOR,ANA,1,3,1
Monday,707,CLE,ANA,4,0,0
Tuesday,706,CLE,ANA,0,2,1
Wednesday,406,CLE,ANA,3,4,1
Thursday,707,BOS,ANA,4,2,0
Friday,708,BOS,ANA,4,3,0
Saturday,607,BOS,ANA,5,0,0
Sunday,1240,BOS,ANA,7,0,0
Monday,708,OAK,ANA,0,5,1
Tuesday,707,OAK,ANA,3,8,1
Wednesday,408,OAK,ANA,2,1,0
Friday,709,CLE,ANA,1,2,1
Saturday,608,CLE,ANA,4,3,0
Sunday,1237,CLE,ANA,5,6,1
Monday,707,CHA,ANA,8,0,0
Tuesday,707,CHA,ANA,2,6,1
Wednesday,708,CHA,ANA,6,4,0
Friday,708,ATL,ANA,0,9,1
Saturday,706,ATL,ANA,5,4,0
Sunday,1237,ATL,ANA,1,4,1
Monday,708,OAK,ANA,1,4,1
Tuesday,707,OAK,ANA,6,1,0
Wednesday,706,OAK,ANA,1,4,1
Thursday,1237,OAK,ANA,4,3,0
Friday,709,NYA,ANA,2,3,1
Saturday,607,NYA,ANA,3,2,0
Sunday,1236,NYA,ANA,5,3,0
Monday,709,TBA,ANA,5,1,0
Tuesday,707,TBA,ANA,4,1,0
Wednesday,707,TBA,ANA,4,3,0
Friday,708,KCA,ANA,4,2,0
Saturday,606,KCA,ANA,5,7,1
Sunday,1238,KCA,ANA,9,0,0
Monday,708,WAS,ANA,3,4,1
Tuesday,708,WAS,ANA,5,11,1
Wednesday,406,WAS,ANA,0,1,1
Friday,709,LAN,ANA,5,0,0
Saturday,609,LAN,ANA,1,7,1
Sunday,509,LAN,ANA,1,3,1
Monday,607,DET,ANA,1,5,1
Tuesday,707,DET,ANA,0,1,1
Wednesday,1237,DET,ANA,5,4,0
Thursday,709,SEA,ANA,1,5,1
Friday,709,SEA,ANA,3,4,1
Saturday,607,SEA,ANA,3,9,1
Sunday,1237,SEA,ANA,2,4,1
Tuesday,727,TEX,ANA,7,0,0
Wednesday,707,TEX,ANA,8,9,1
Thursday,1237,TEX,ANA,0,1,1
Tuesday,707,MIN,ANA,1,5,1
Wednesday,707,MIN,ANA,11,4,0
Thursday,707,MIN,ANA,1,7,1
Friday,708,SEA,ANA,0,1,1
Saturday,607,SEA,ANA,5,1,0
Sunday,1237,SEA,ANA,1,2,1
Monday,708,TEX,ANA,8,4,0
Tuesday,708,TEX,ANA,7,3,0
Wednesday,707,TEX,ANA,4,3,0
Thursday,707,TEX,ANA,1,2,1
Friday,707,BAL,ANA,3,8,1
Saturday,606,BAL,ANA,8,9,1
Sunday,1237,BAL,ANA,1,7,1
Tuesday,707,CHA,ANA,4,5,1
Wednesday,708,CHA,ANA,0,8,1
Friday,708,MIN,ANA,13,5,0
Saturday,607,MIN,ANA,6,10,1
Sunday,1237,MIN,ANA,1,4,1
Monday,607,SEA,ANA,3,7,1
Tuesday,706,SEA,ANA,2,1,0
Wednesday,707,SEA,ANA,1,3,1
Friday,707,NYA,ANA,1,2,1
Saturday,607,NYA,ANA,0,6,1
Sunday,1245,NYA,ANA,6,5,0
Friday,707,OAK,ANA,3,1,0
Saturday,607,OAK,ANA,2,4,1
Sunday,1236,OAK,ANA,6,5,0
Monday,707,TEX,ANA,4,3,0
Tuesday,708,TEX,ANA,10,3,0
Wednesday,507,TEX,ANA,3,1,0
Friday,711,KCA,ANA,0,5,1
Saturday,106,KCA,ANA,6,3,0
Sunday,1237,KCA,ANA,7,3,0
Monday,707,OAK,ANA,0,6,1
Tuesday,707,OAK,ANA,5,3,0
Wednesday,706,OAK,ANA,6,0,0
Thursday,708,OAK,ANA,4,2,0
Friday,708,BAL,ANA,3,6,1
Saturday,607,BAL,ANA,3,6,1
Sunday,1237,BAL,ANA,3,2,0
Monday,707,MIN,ANA,3,4,1
Tuesday,706,MIN,ANA,0,4,1
Wednesday,707,MIN,ANA,0,9,1
Thursday,707,TOR,ANA,5,0,0
Friday,707,TOR,ANA,4,0,0
Saturday,608,TOR,ANA,2,6,1
Sunday,1237,TOR,ANA,3,4,1
Monday,708,OAK,ANA,5,0,0
Tuesday,407,OAK,ANA,0,4,1
Wednesday,707,CHA,ANA,2,7,1
Thursday,1239,CHA,ANA,6,1,0
Monday,608,NYA,ANA,8,9,1
Tuesday,707,NYA,ANA,1,5,1
Wednesday,707,NYA,ANA,6,5,0
Friday,712,TEX,ANA,2,4,1
Saturday,708,TEX,ANA,2,3,1
Sunday,1237,TEX,ANA,7,3,0
Monday,706,SEA,ANA,8,6,0
Tuesday,707,SEA,ANA,1,6,1
Wednesday,707,SEA,ANA,8,6,0
Friday,707,ARI,ANA,5,0,0
Saturday,708,ARI,ANA,0,2,1
Sunday,1238,ARI,ANA,0,2,1
Monday,708,SFN,ANA,5,3,0
Tuesday,707,SFN,ANA,5,12,1
Wednesday,708,SFN,ANA,0,6,1
Friday,708,LAN,ANA,5,8,1
Saturday,416,LAN,ANA,3,1,0
Sunday,1238,LAN,ANA,3,5,1
Thursday,709,BAL,ANA,7,9,1
Friday,708,BAL,ANA,3,2,0
Saturday,708,BAL,ANA,0,3,1
Sunday,1237,BAL,ANA,0,6,1
Friday,708,TEX,ANA,1,6,1
Saturday,107,TEX,ANA,9,2,0
Sunday,507,TEX,ANA,4,7,1
Monday,708,KCA,ANA,3,6,1
Tuesday,707,KCA,ANA,4,1,0
Wednesday,1238,KCA,ANA,6,11,1
Friday,708,TBA,ANA,1,3,1
Saturday,608,TBA,ANA,3,0,0
Sunday,1237,TBA,ANA,2,0,0
Friday,708,SEA,ANA,5,6,1
Saturday,607,SEA,ANA,7,4,0
Sunday,1238,SEA,ANA,4,1,0
Monday,707,CLE,ANA,6,2,0
Tuesday,707,CLE,ANA,6,9,1
Wednesday,707,CLE,ANA,4,8,1
Thursday,708,TBA,ANA,7,0,0
Friday,707,TBA,ANA,12,3,0
Saturday,637,TBA,ANA,10,8,0
Sunday,1237,TBA,ANA,8,3,0
Tuesday,708,BOS,ANA,5,6,1
Wednesday,708,BOS,ANA,3,10,1
Thursday,707,BOS,ANA,2,5,1
Friday,709,DET,ANA,2,3,1
Saturday,607,DET,ANA,1,6,1
Sunday,1238,DET,ANA,2,3,1
Monday,707,OAK,ANA,3,1,0
Tuesday,706,OAK,ANA,6,5,0
Wednesday,708,OAK,ANA,4,1,0
Thursday,1239,OAK,ANA,0,6,1
Tuesday,708,TEX,ANA,3,11,1
Wednesday,710,TEX,ANA,6,2,0
Thursday,708,TEX,ANA,3,1,0
Friday,708,CHA,ANA,2,6,1
Saturday,609,CHA,ANA,2,4,1
Sunday,1238,CHA,ANA,1,4,1
Tuesday,707,SEA,ANA,4,5,1
Wednesday,708,SEA,ANA,3,4,1
Thursday,1238,SEA,ANA,9,4,0
Tuesday,711,OAK,ANA,9,5,0
Wednesday,708,OAK,ANA,11,5,0
Thursday,709,OAK,ANA,8,1,0
Friday,708,HOU,ANA,5,0,0
Saturday,607,HOU,ANA,4,5,1
Sunday,1238,HOU,ANA,1,4,1
Friday,707,DET,ANA,1,8,1
Saturday,1207,DET,ANA,0,10,1
Sunday,1239,DET,ANA,3,4,1
Monday,709,TEX,ANA,7,6,0
Tuesday,707,TEX,ANA,4,5,1
Wednesday,709,TEX,ANA,11,3,0
Thursday,710,BAL,ANA,5,1,0
Friday,708,BAL,ANA,0,4,1
Saturday,108,BAL,ANA,5,4,0
Sunday,1238,BAL,ANA,8,4,0
Monday,708,KCA,ANA,11,4,0
Tuesday,708,KCA,ANA,2,6,1
Wednesday,707,KCA,ANA,9,5,0
Thursday,708,CHA,ANA,5,4,0
Friday,709,CHA,ANA,3,0,0
Saturday,108,CHA,ANA,9,12,1
Sunday,1239,CHA,ANA,2,6,1
Tuesday,708,SEA,ANA,0,12,1
Wednesday,409,SEA,ANA,1,7,1
Wednesday,710,LAN,ANA,3,4,1
Thursday,707,LAN,ANA,2,3,1
Friday,709,HOU,ANA,6,3,0
Saturday,708,HOU,ANA,2,0,0
Sunday,1241,HOU,ANA,5,4,0
Monday,709,HOU,ANA,2,1,0
Tuesday,709,CHN,ANA,3,4,1
Wednesday,408,CHN,ANA,8,6,0
Friday,708,NYA,ANA,2,5,1
Saturday,416,NYA,ANA,2,6,1
Sunday,1238,NYA,ANA,6,5,0
Monday,707,SEA,ANA,3,11,1
Tuesday,708,SEA,ANA,3,2,0
Wednesday,709,SEA,ANA,0,1,1
Thursday,707,SEA,ANA,9,10,1
Friday,709,PIT,ANA,5,2,0
Saturday,707,PIT,ANA,6,1,0
Sunday,1238,PIT,ANA,10,9,0
Tuesday,708,SLN,ANA,1,5,1
Wednesday,707,SLN,ANA,12,2,0
Thursday,608,SLN,ANA,5,6,1
Friday,708,BOS,ANA,6,2,0
Saturday,707,BOS,ANA,7,9,1
Sunday,508,BOS,ANA,0,3,1
Friday,709,OAK,ANA,1,4,1
Saturday,609,OAK,ANA,0,2,1
Sunday,1238,OAK,ANA,6,0,0
Monday,710,MIN,ANA,4,3,0
Tuesday,708,MIN,ANA,10,3,0
Wednesday,1239,MIN,ANA,0,1,1
Thursday,708,TOR,ANA,2,8,1
Friday,708,TOR,ANA,5,7,1
Saturday,609,TOR,ANA,3,7,1
Sunday,1240,TOR,ANA,6,5,0
Monday,708,TEX,ANA,5,2,0
Tuesday,708,TEX,ANA,8,3,0
Wednesday,708,TEX,ANA,10,3,0
Friday,708,HOU,ANA,8,2,0
Saturday,608,HOU,ANA,5,6,1
Sunday,1238,HOU,ANA,7,5,0
Monday,709,CLE,ANA,5,2,0
Tuesday,708,CLE,ANA,4,1,0
Wednesday,408,CLE,ANA,3,1,0
Monday,609,TBA,ANA,2,11,1
Tuesday,708,TBA,ANA,7,1,0
Wednesday,712,TBA,ANA,3,1,0
Thursday,727,TBA,ANA,2,6,1
Friday,709,TEX,ANA,5,6,1
Saturday,608,TEX,ANA,3,8,1
Sunday,1238,TEX,ANA,4,3,0
Friday,708,SEA,ANA,2,3,1
Saturday,608,SEA,ANA,5,6,1
Sunday,1239,SEA,ANA,3,2,0
Monday,709,OAK,ANA,10,5,0
Tuesday,708,OAK,ANA,0,3,1
Wednesday,1238,OAK,ANA,1,3,1
Monday,210,SDN,ARI,3,6,1
Tuesday,641,SDN,ARI,6,3,0
Wednesday,640,SDN,ARI,3,5,1
Friday,640,PIT,ARI,1,9,1
Saturday,510,PIT,ARI,6,3,0
Sunday,110,PIT,ARI,6,15,1
Monday,640,SLN,ARI,4,2,0
Tuesday,640,SLN,ARI,7,9,1
Wednesday,640,SLN,ARI,9,4,0
Friday,640,PHI,ARI,4,7,1
Saturday,510,PHI,ARI,3,2,0
Sunday,110,PHI,ARI,6,8,1
Friday,641,MIL,ARI,3,2,0
Saturday,510,MIL,ARI,17,3,0
Sunday,110,MIL,ARI,6,1,0
Monday,640,LAN,ARI,7,3,0
Tuesday,640,LAN,ARI,13,3,0
Wednesday,641,LAN,ARI,6,3,0
Wednesday,640,SFN,ARI,1,13,1
Thursday,640,SFN,ARI,7,8,1
Friday,640,TOR,ARI,6,8,1
Saturday,510,TOR,ARI,5,8,1
Sunday,110,TOR,ARI,12,4,0
Friday,640,COL,ARI,6,7,1
Saturday,510,COL,ARI,3,4,1
Sunday,110,COL,ARI,3,2,0
Monday,640,ATL,ARI,4,7,1
Tuesday,641,ATL,ARI,7,5,0
Wednesday,640,ATL,ARI,1,2,1
Thursday,1240,ATL,ARI,11,7,0
Friday,640,SLN,ARI,5,2,0
Saturday,510,SLN,ARI,2,7,1
Sunday,110,SLN,ARI,5,7,1
Monday,710,NYA,ARI,4,10,1
Tuesday,640,NYA,ARI,9,3,0
Wednesday,640,NYA,ARI,6,5,0
Friday,640,LAN,ARI,5,12,1
Saturday,640,LAN,ARI,14,1,0
Sunday,111,LAN,ARI,3,1,0
Monday,110,CHN,ARI,9,4,0
Tuesday,640,CHN,ARI,6,4,0
Wednesday,640,CHN,ARI,8,3,0
Thursday,640,FLO,ARI,4,10,1
Friday,640,FLO,ARI,3,2,0
Saturday,510,FLO,ARI,4,5,1
Sunday,110,FLO,ARI,2,0,0
Monday,640,NYN,ARI,2,13,1
Tuesday,640,NYN,ARI,2,3,1
Wednesday,640,NYN,ARI,3,4,1
Thursday,640,SFN,ARI,3,0,0
Friday,640,SFN,ARI,7,4,0
Saturday,510,SFN,ARI,10,4,0
Sunday,110,SFN,ARI,3,2,0
Monday,640,WAS,ARI,3,1,0
Tuesday,640,WAS,ARI,1,6,1
Wednesday,640,WAS,ARI,7,2,0
Thursday,640,WAS,ARI,4,8,1
Friday,640,SDN,ARI,1,2,1
Saturday,527,SDN,ARI,5,6,1
Sunday,110,SDN,ARI,10,1,0
Tuesday,640,CIN,ARI,6,2,0
Wednesday,640,CIN,ARI,11,7,0
Thursday,640,CIN,ARI,9,5,0
Friday,640,COL,ARI,3,4,1
Saturday,509,COL,ARI,1,3,1
Sunday,110,COL,ARI,1,0,0
Monday,640,SDN,ARI,2,7,1
Tuesday,640,SDN,ARI,4,7,1
Wednesday,310,SDN,ARI,2,5,1
Friday,640,HOU,ARI,3,4,1
Saturday,510,HOU,ARI,6,5,0
Sunday,110,HOU,ARI,3,2,0
Monday,110,SFN,ARI,2,0,0
Tuesday,640,SFN,ARI,6,3,0
Wednesday,640,SFN,ARI,1,3,1
Tuesday,640,COL,ARI,1,3,1
Wednesday,640,COL,ARI,4,8,1
Thursday,640,COL,ARI,9,10,1
Friday,640,LAN,ARI,3,1,0
Saturday,510,LAN,ARI,2,5,1
Sunday,110,LAN,ARI,4,5,1
Friday,640,CIN,ARI,2,13,1
Saturday,510,CIN,ARI,6,1,0
Sunday,111,CIN,ARI,8,10,1
Monday,640,SLN,ARI,8,2,0
Tuesday,641,SLN,ARI,8,13,1
Wednesday,640,SLN,ARI,15,5,0
Friday,640,SFN,ARI,5,2,0
Saturday,510,SFN,ARI,5,3,0
Sunday,110,SFN,ARI,5,6,1
Monday,640,PHI,ARI,0,4,1
Tuesday,640,PHI,ARI,5,7,1
Wednesday,1240,PHI,ARI,8,4,0
Thursday,640,CHN,ARI,2,11,1
Friday,640,CHN,ARI,4,2,0
Saturday,510,CHN,ARI,5,3,0
Sunday,110,CHN,ARI,3,4,1
Tuesday,640,COL,ARI,3,4,1
Wednesday,640,COL,ARI,6,4,0
Thursday,640,COL,ARI,2,3,1
Monday,640,SDN,ARI,8,4,0
Tuesday,640,SDN,ARI,1,6,1
Wednesday,640,ATL,ARI,4,5,1
Thursday,640,ATL,ARI,1,2,1
Friday,640,MIN,ARI,7,8,1
Saturday,710,MIN,ARI,6,9,1
Sunday,110,MIN,ARI,2,3,1
Monday,510,FLO,ARI,4,15,1
Tuesday,640,FLO,ARI,5,2,0
Wednesday,440,FLO,ARI,5,6,1
Thursday,640,WAS,ARI,6,1,0
Friday,640,WAS,ARI,0,4,1
Saturday,510,WAS,ARI,0,2,1
Sunday,110,WAS,ARI,9,4,0
Tuesday,640,SFN,ARI,6,5,0
Wednesday,640,SFN,ARI,5,2,0
Thursday,640,SFN,ARI,2,3,1
Friday,640,CHA,ARI,1,4,1
Saturday,510,CHA,ARI,6,2,0
Sunday,111,CHA,ARI,8,2,0
Monday,640,CLE,ARI,5,4,0
Tuesday,640,CLE,ARI,4,6,1
Wednesday,1240,CLE,ARI,6,2,0
Friday,640,LAN,ARI,6,4,0
Saturday,510,LAN,ARI,2,3,1
Sunday,110,LAN,ARI,1,4,1
Monday,640,MIL,ARI,0,3,1
Tuesday,640,MIL,ARI,11,3,0
Wednesday,640,MIL,ARI,5,2,0
Thursday,640,MIL,ARI,0,4,1
Friday,640,COL,ARI,8,4,0
Saturday,510,COL,ARI,3,12,1
Sunday,110,COL,ARI,0,7,1
Friday,640,LAN,ARI,7,4,0
Saturday,510,LAN,ARI,5,3,0
Sunday,111,LAN,ARI,3,4,1
Monday,640,HOU,ARI,9,1,0
Tuesday,641,HOU,ARI,9,11,1
Wednesday,640,HOU,ARI,3,6,1
Thursday,640,HOU,ARI,5,8,1
Friday,640,NYN,ARI,3,4,1
Saturday,510,NYN,ARI,4,6,1
Sunday,110,NYN,ARI,3,5,1
Friday,640,SDN,ARI,0,5,1
Saturday,510,SDN,ARI,1,3,1
Sunday,109,SDN,ARI,1,6,1
Monday,640,COL,ARI,1,5,1
Tuesday,641,COL,ARI,4,9,1
Wednesday,640,COL,ARI,2,4,1
Thursday,640,SDN,ARI,1,4,1
Friday,640,SDN,ARI,2,3,1
Saturday,513,SDN,ARI,5,6,1
Sunday,111,SDN,ARI,7,6,0
Monday,640,PIT,ARI,0,1,1
Tuesday,640,PIT,ARI,5,3,0
Wednesday,1240,PIT,ARI,5,8,1
Friday,640,SFN,ARI,1,3,1
Saturday,510,SFN,ARI,2,15,1
Sunday,110,SFN,ARI,2,5,1
Monday,640,LAN,ARI,4,2,0
Tuesday,640,LAN,ARI,6,7,1
Wednesday,640,LAN,ARI,7,5,0
Tuesday,637,MIL,ARI,1,8,1
Wednesday,637,MIL,ARI,6,10,1
Friday,413,SFN,ARI,4,5,1
Saturday,105,SFN,ARI,4,5,1
Sunday,111,SFN,ARI,6,7,1
Monday,640,PIT,ARI,1,5,1
Tuesday,640,PIT,ARI,5,4,0
Wednesday,1240,PIT,ARI,2,1,0
Thursday,640,ATL,ARI,10,2,0
Friday,640,ATL,ARI,9,1,0
Saturday,510,ATL,ARI,3,2,0
Sunday,110,ATL,ARI,4,6,1
Monday,640,PHI,ARI,5,9,1
Tuesday,640,PHI,ARI,8,5,0
Wednesday,1240,PHI,ARI,7,2,0
Monday,640,SLN,ARI,9,6,0
Tuesday,640,SLN,ARI,6,1,0
Wednesday,640,SLN,ARI,7,2,0
Friday,640,SFN,ARI,1,5,1
Saturday,510,SFN,ARI,5,2,0
Sunday,110,SFN,ARI,7,3,0
Monday,640,LAN,ARI,6,1,0
Tuesday,640,LAN,ARI,8,7,0
Wednesday,640,LAN,ARI,4,11,1
Friday,640,MIL,ARI,7,1,0
Saturday,710,MIL,ARI,5,8,1
Sunday,110,MIL,ARI,3,4,1
Monday,640,COL,ARI,4,0,0
Tuesday,640,COL,ARI,0,10,1
Wednesday,640,COL,ARI,1,6,1
Friday,640,OAK,ARI,8,9,1
Saturday,710,OAK,ARI,3,8,1
Sunday,110,OAK,ARI,3,4,1
Monday,640,SEA,ARI,1,7,1
Tuesday,640,SEA,ARI,12,9,0
Wednesday,1240,SEA,ARI,10,14,1
Friday,640,CHN,ARI,1,6,1
Saturday,710,CHN,ARI,5,10,1
Sunday,111,CHN,ARI,1,5,1
Monday,640,SDN,ARI,6,2,0
Tuesday,640,SDN,ARI,9,5,0
Wednesday,640,SDN,ARI,8,6,0
Thursday,640,LAN,ARI,4,1,0
Friday,640,LAN,ARI,3,5,1
Saturday,710,LAN,ARI,3,5,1
Sunday,110,LAN,ARI,1,7,1
Friday,640,HOU,ARI,8,13,1
Saturday,510,HOU,ARI,3,12,1
Sunday,110,HOU,ARI,2,8,1
Monday,640,COL,ARI,3,6,1
Tuesday,640,COL,ARI,2,6,1
Wednesday,640,COL,ARI,4,2,0
Thursday,640,NYN,ARI,3,1,0
Friday,639,NYN,ARI,5,11,1
Saturday,510,NYN,ARI,3,6,1
Sunday,110,NYN,ARI,5,1,0
Friday,640,WAS,ARI,9,1,0
Saturday,510,WAS,ARI,6,5,0
Sunday,111,WAS,ARI,4,7,1
Monday,640,MIA,ARI,12,3,0
Tuesday,640,MIA,ARI,6,5,0
Wednesday,1241,MIA,ARI,2,3,1
Wednesday,640,MIA,ARI,0,3,1
Friday,640,SDN,ARI,5,0,0
Saturday,510,SDN,ARI,9,3,0
Sunday,110,SDN,ARI,5,4,0
Monday,640,CIN,ARI,3,2,0
Tuesday,640,CIN,ARI,5,2,0
Wednesday,1240,CIN,ARI,6,2,0
Tuesday,640,LAN,ARI,0,1,1
Wednesday,640,LAN,ARI,2,3,1
Friday,640,SFN,ARI,6,2,0
Saturday,510,SFN,ARI,3,2,0
Sunday,110,SFN,ARI,2,10,1
Tuesday,640,SDN,ARI,2,3,1
Wednesday,640,SDN,ARI,2,6,1
Thursday,1241,SDN,ARI,6,5,0
Friday,640,CHN,ARI,3,8,1
Saturday,510,CHN,ARI,2,8,1
Sunday,110,CHN,ARI,7,2,0
Monday,640,COL,ARI,7,5,0
Tuesday,640,COL,ARI,3,5,1
Wednesday,410,COL,ARI,2,1,0
Monday,710,SLN,ARI,2,6,1
Tuesday,640,SLN,ARI,6,1,0
Wednesday,640,SLN,ARI,9,10,1
Monday,640,PIT,ARI,5,3,0
Tuesday,640,PIT,ARI,6,5,0
Wednesday,1240,PIT,ARI,2,10,1
Friday,640,LAN,ARI,0,3,1
Saturday,510,LAN,ARI,7,5,0
Sunday,110,LAN,ARI,0,1,1
Thursday,641,COL,ARI,2,3,1
Friday,640,COL,ARI,6,3,0
Saturday,510,COL,ARI,2,3,1
Sunday,110,COL,ARI,2,4,1
Monday,640,SFN,ARI,6,4,0
Tuesday,640,SFN,ARI,2,1,0
Wednesday,640,SFN,ARI,9,6,0
Thursday,640,PHI,ARI,1,2,1
Friday,640,PHI,ARI,2,3,1
Saturday,510,PHI,ARI,3,1,0
Sunday,110,PHI,ARI,4,2,0
Monday,640,ATL,ARI,10,1,0
Tuesday,640,ATL,ARI,0,2,1
Wednesday,1240,ATL,ARI,3,5,1
Friday,640,SDN,ARI,2,5,1
Saturday,710,SDN,ARI,10,4,0
Sunday,111,SDN,ARI,5,6,1
Monday,1240,TEX,ARI,3,5,1
Monday,640,TEX,ARI,4,5,1
Friday,640,SFN,ARI,1,3,1
Saturday,710,SFN,ARI,10,5,0
Sunday,110,SFN,ARI,6,2,0
Monday,640,MIA,ARI,3,2,0
Tuesday,640,MIA,ARI,2,3,1
Wednesday,1240,MIA,ARI,1,3,1
Friday,640,CIN,ARI,5,11,1
Saturday,415,CIN,ARI,3,4,1
Sunday,110,CIN,ARI,4,2,0
Friday,644,COL,ARI,0,5,1
Saturday,710,COL,ARI,1,11,1
Sunday,110,COL,ARI,1,6,1
Monday,640,LAN,ARI,6,1,0
Tuesday,640,LAN,ARI,6,1,0
Wednesday,640,LAN,ARI,7,5,0
Thursday,640,MIL,ARI,3,5,1
Friday,640,MIL,ARI,1,2,1
Saturday,710,MIL,ARI,4,5,1
Sunday,110,MIL,ARI,5,1,0
Monday,640,CHN,ARI,4,2,0
Tuesday,640,CHN,ARI,4,10,1
Wednesday,640,CHN,ARI,7,6,0
Thursday,640,CHN,ARI,1,3,1
Friday,640,SDN,ARI,0,10,1
Saturday,510,SDN,ARI,12,3,0
Sunday,110,SDN,ARI,1,0,0
Tuesday,640,TBA,ARI,1,6,1
Wednesday,640,TBA,ARI,8,9,1
Friday,640,NYN,ARI,4,5,1
Saturday,510,NYN,ARI,4,1,0
Sunday,110,NYN,ARI,9,5,0
Monday,640,BAL,ARI,6,7,1
Tuesday,640,BAL,ARI,3,4,1
Wednesday,1241,BAL,ARI,4,5,1
Monday,640,SDN,ARI,1,6,1
Tuesday,640,SDN,ARI,9,10,1
Wednesday,640,SDN,ARI,5,1,0
Friday,640,SFN,ARI,1,0,0
Saturday,510,SFN,ARI,3,4,1
Sunday,110,SFN,ARI,8,2,0
Monday,110,TOR,ARI,4,1,0
Tuesday,640,TOR,ARI,10,4,0
Wednesday,1240,TOR,ARI,3,4,1
Friday,640,COL,ARI,7,5,0
Saturday,510,COL,ARI,2,9,1
Sunday,110,COL,ARI,2,8,1
Monday,640,LAN,ARI,1,2,1
Tuesday,640,LAN,ARI,9,3,0
Wednesday,710,LAN,ARI,4,9,1
Thursday,1240,LAN,ARI,7,6,0
Friday,640,WAS,ARI,8,4,0
Saturday,511,WAS,ARI,2,0,0
Sunday,110,WAS,ARI,2,3,1
Monday,412,CHN,ATL,5,16,1
Wednesday,712,CHN,ATL,2,3,1
Thursday,710,CHN,ATL,2,0,0
Friday,736,COL,ATL,5,9,1
Saturday,711,COL,ATL,4,0,0
Sunday,139,COL,ATL,3,4,1
Tuesday,710,PHI,ATL,3,4,1
Wednesday,710,PHI,ATL,2,0,0
Thursday,710,PHI,ATL,8,3,0
Friday,736,HOU,ATL,2,4,1
Saturday,311,HOU,ATL,1,10,1
Sunday,135,HOU,ATL,1,7,1
Friday,737,ARI,ATL,5,6,1
